,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
0,Shared room,De Pijp / Rivierenbuurt,7,4.5,2,1.0,156.0,Red Light/ Canal view apartment (Shared),2017-07-23 13:06:27.391699,52.356209,4.887491000000001
1,Shared room,Centrum West,45,4.5,4,1.0,126.0,Sunny and Cozy Living room in quite neighbours,2017-07-23 13:06:23.607187,52.378518,4.89612
3,Shared room,Centrum West,7,5.0,4,1.0,121.0,Canal boat RIDE in Amsterdam,2017-07-23 13:06:22.689787,52.376319,4.890028
5,Shared room,De Pijp / Rivierenbuurt,184,4.5,2,1.0,102.0,Beautiful apartment,2017-07-23 13:06:19.663975,52.342265000000005,4.897126
6,Shared room,Oostelijk Havengebied / Indische Buurt,67,5.0,16,1.0,462.0,"LOTUS, Classic Dutch Saling Barge ",2017-07-23 13:06:09.988016,52.377552,4.930418
10,Shared room,De Pijp / Rivierenbuurt,26,5.0,4,1.0,246.0,Beautiful apartment!,2017-07-23 13:06:07.443359,52.342445,4.89695
11,Shared room,Centrum Oost,10,4.5,4,1.0,198.0,APARTMENT IN CENTER OF AMSTERDAM,2017-07-23 13:06:05.098304,52.366271000000005,4.896251
14,Shared room,Oostelijk Havengebied / Indische Buurt,15,4.0,4,1.0,48.0,sleeping schip Verandering R B&b 2,2017-07-23 13:05:45.752256,52.378351,4.94113
16,Shared room,Geuzenveld / Slotermeer,3,4.0,1,1.0,45.0,Single boxspr bed in a living room.,2017-07-23 13:05:45.747052,52.379515999999995,4.800987
17,Shared room,De Pijp / Rivierenbuurt,11,4.0,2,1.0,48.0,Simple sleeping place de Pijp,2017-07-23 13:05:45.744708,52.349973999999996,4.89961
18,Shared room,Buitenveldert / Zuidas,6,5.0,2,1.0,60.0,Comfortable double bedroom,2017-07-23 13:05:45.742361,52.3293,4.861808
19,Shared room,Buitenveldert / Zuidas,6,4.5,2,1.0,48.0,Amsterdam-South Cheerful Shared Apartment,2017-07-23 13:05:45.739061,52.326259,4.857729
20,Shared room,Oud Noord,73,4.5,4,1.0,48.0,Sleep ship Verandering,2017-07-23 13:05:45.733979,52.39063,4.940112
22,Shared room,De Baarsjes / Oud West,60,4.5,2,1.0,54.0,Chez Eric - Stay inspired close to vondelpark!,2017-07-23 13:05:45.728819,52.360034000000006,4.863982
24,Shared room,Bos en Lommer,9,5.0,1,1.0,54.0,WOMEN ONLY Cozy sofa + canal view in renovated apt,2017-07-23 13:05:45.721610,52.377693,4.850855
28,Shared room,Geuzenveld / Slotermeer,4,5.0,2,1.0,36.0,Cheap Cosy Place West,2017-07-23 13:05:41.347058,52.377385,4.83054
31,Shared room,Bijlmer Centrum,12,4.5,2,1.0,30.0,Shared Container apartment,2017-07-23 13:05:41.338412,52.320525,4.955946
32,Shared room,Bos en Lommer,30,4.5,2,1.0,30.0,sleep on my couch and rock Am'dam!!,2017-07-23 13:05:41.335247,52.375382,4.849186
33,Entire home/apt,Ijburg / Eiland Zeeburg,19,5.0,8,4.0,763.0,Beautiful Watervilla in Amsterdam,2017-07-23 13:02:10.468528,52.348254,5.0014769999999995
35,Entire home/apt,Centrum West,10,5.0,4,3.0,721.0,Prinsengracht Appartement,2017-07-23 12:52:40.980471,52.373078,4.884269000000001
39,Entire home/apt,De Pijp / Rivierenbuurt,23,4.5,4,4.0,661.0,Stuff of Dreams in Amsterdam Pijp,2017-07-23 12:30:12.749518,52.35494,4.902866
41,Entire home/apt,De Pijp / Rivierenbuurt,17,4.5,4,2.0,331.0,Beautiful apartment in Amsterdam,2017-07-23 12:27:16.593772,52.354110999999996,4.902925
42,Entire home/apt,Centrum Oost,15,5.0,6,4.0,409.0,Historic House in Center Amsterdam,2017-07-23 12:22:23.015413,52.368309,4.909591000000001
45,Entire home/apt,Centrum West,25,4.5,3,1.0,186.0,JORDAAN - cozy 2 room apartment,2017-07-23 12:01:28.074061,52.374855,4.87805
46,Entire home/apt,Bijlmer Centrum,8,4.5,3,0.0,156.0,"Private studio, 20 minutes away from city center",2017-07-23 11:55:02.321846,52.319091,4.9532739999999995
50,Entire home/apt,Bijlmer Centrum,17,4.5,4,2.0,108.0,Nice & spacious apartment,2017-07-23 11:40:10.707836,52.317343,4.944083
51,Entire home/apt,Centrum Oost,21,4.0,4,2.0,541.0,Two Floor City Centre Canal House,2017-07-23 11:36:52.628550,52.364932,4.885259
52,Entire home/apt,Noord-West / Noord-Midden,11,5.0,6,4.0,594.0,Gorgeous House near Vondelpark area,2017-07-23 11:36:50.397922,52.354616,4.852802
54,Entire home/apt,Noord-West / Noord-Midden,13,4.5,6,4.0,599.0,Big family house next to Vondelpark/Museum Quarter,2017-07-23 11:36:50.381072,52.355028999999995,4.869549
